,ADVB,NOUN,NUMR,ADJ,NPRO,PRED,VERB,CONJ,INTJ,PREP,PRCL,PRTF,GRND
Абиссаль,0.016,0.453,0.0,0.297,0.008,0.0,0.125,0.047,0.0,0.055,0.0,,
Автобус,0.034,0.415,0.008,0.119,0.025,0.0,0.144,0.059,0.0,0.161,0.034,,
Автомобиль,0.024,0.38,0.014,0.221,0.01,0.0,0.115,0.067,0.0,0.144,0.024,,
Азбука Морзе,0.021,0.515,0.01,0.186,0.0,0.0,0.113,0.062,0.0,0.082,0.01,,
Айсберг,0.017,0.45,0.0,0.117,0.017,0.0,0.133,0.117,0.0,0.133,0.017,,
Алвин,0.0,0.412,0.029,0.118,0.0,0.0,0.265,0.029,0.0,0.147,0.0,,
Альберт-холл,0.025,0.425,0.0,0.225,0.025,0.0,0.075,0.05,0.0,0.175,0.0,,
Ампутация,0.076,0.485,0.0,0.076,0.015,0.0,0.121,0.045,0.0,0.152,0.03,,
Английский язык,0.0,0.437,0.0,0.291,0.01,0.0,0.078,0.087,0.0,0.097,0.0,,
Англиканская церковь,0.017,0.359,0.0,0.249,0.027,0.0,0.132,0.08,0.0,0.115,0.02,,
Англия,0.017,0.496,0.008,0.182,0.0,0.0,0.124,0.074,0.0,0.091,0.008,,
Антенна,0.011,0.482,0.0,0.129,0.018,0.0,0.129,0.076,0.0,0.147,0.007,,
Античность,0.0,0.483,0.0,0.2,0.017,0.0,0.117,0.033,0.0,0.15,0.0,,
Атлантик,0.0,0.5,0.0,0.2,0.0,0.0,0.067,0.0,0.0,0.2,0.033,,
Атлантический океан,0.01,0.46,0.0,0.19,0.0,0.0,0.07,0.1,0.0,0.16,0.01,,
Атм,0.047,0.427,0.009,0.216,0.019,0.005,0.061,0.061,0.005,0.131,0.019,,
Багор,0.095,0.429,0.0,0.143,0.0,0.0,0.095,0.048,0.0,0.19,0.0,,
Балласт на надводных плавучих средствах,0.018,0.455,0.0,0.218,0.0,0.0,0.073,0.073,0.0,0.164,0.0,,
Батискаф,0.019,0.383,0.0,0.271,0.009,0.0,0.121,0.047,0.0,0.15,0.0,,
Баффинова земля,0.0,0.552,0.0,0.276,0.0,0.0,0.069,0.034,0.0,0.069,0.0,,
